CMDLINE python Benchmark.py
MEM 2.750000 1777130365.4718
MEM 17.726562 1777130365.5722
MEM 33.246094 1777130365.6725
MEM 44.246094 1777130365.7729
MEM 60.871094 1777130365.8774
MEM 71.414062 1777130365.9778
MEM 90.429688 1777130366.0783
MEM 103.910156 1777130366.1793
MEM 122.507812 1777130366.2797
MEM 136.382812 1777130366.3802
MEM 151.632812 1777130366.4807
MEM 155.382812 1777130366.5814
MEM 160.007812 1777130366.6818
MEM 165.132812 1777130366.7822
MEM 168.382812 1777130366.8826
MEM 173.882812 1777130366.9832
MEM 176.507812 1777130367.0836
MEM 182.507812 1777130367.1840
MEM 184.007812 1777130367.2846
MEM 189.632812 1777130367.3850
MEM 192.632812 1777130367.4854
MEM 196.257812 1777130367.5858
MEM 202.382812 1777130367.6863
MEM 203.382812 1777130367.7867
MEM 208.757812 1777130367.8871
MEM 214.882812 1777130367.9876
MEM 217.132812 1777130368.0881
MEM 219.007812 1777130368.1885
MEM 225.132812 1777130368.2889
MEM 230.382812 1777130368.3897
MEM 233.757812 1777130368.4902
MEM 233.757812 1777130368.5907
MEM 238.757812 1777130368.6911
MEM 245.132812 1777130368.7915
MEM 251.507812 1777130368.8919
MEM 254.007812 1777130368.9924
MEM 254.132812 1777130369.0928
MEM 260.132812 1777130369.1933
MEM 266.132812 1777130369.2936
MEM 272.507812 1777130369.3941
MEM 277.632812 1777130369.4945
MEM 279.132812 1777130369.5951
MEM 279.132812 1777130369.6956
MEM 283.632812 1777130369.7961
MEM 289.757812 1777130369.8964
MEM 295.507812 1777130369.9969
MEM 301.007812 1777130370.0974
MEM 307.132812 1777130370.1978
MEM 310.132812 1777130370.2983
MEM 310.132812 1777130370.3988
MEM 310.132812 1777130370.4994
MEM 314.132812 1777130370.5998
MEM 320.132812 1777130370.7001
MEM 326.257812 1777130370.8005
MEM 332.257812 1777130370.9009
MEM 338.382812 1777130371.0014
MEM 344.382812 1777130371.1017
MEM 348.382812 1777130371.2023
MEM 348.382812 1777130371.3029
MEM 348.382812 1777130371.4034
MEM 349.132812 1777130371.5038
MEM 355.257812 1777130371.6042
MEM 361.757812 1777130371.7045
MEM 367.757812 1777130371.8050
MEM 373.882812 1777130371.9053
MEM 379.382812 1777130372.0057
MEM 385.507812 1777130372.1061
MEM 391.757812 1777130372.2067
MEM 395.132812 1777130372.3072
MEM 395.132812 1777130372.4077
MEM 395.132812 1777130372.5082
MEM 395.132812 1777130372.6086
MEM 399.382812 1777130372.7090
MEM 405.757812 1777130372.8094
MEM 412.257812 1777130372.9098
MEM 418.507812 1777130373.0102
MEM 424.757812 1777130373.1108
MEM 431.382812 1777130373.2113
MEM 437.632812 1777130373.3119
MEM 444.132812 1777130373.4124
MEM 450.007812 1777130373.5130
MEM 452.632812 1777130373.6136
MEM 452.632812 1777130373.7141
MEM 452.632812 1777130373.8146
MEM 452.632812 1777130373.9151
MEM 452.632812 1777130374.0156
MEM 457.257812 1777130374.1163
MEM 463.257812 1777130374.2168
MEM 469.507812 1777130374.3173
MEM 475.382812 1777130374.4178
MEM 480.632812 1777130374.5183
MEM 486.757812 1777130374.6186
MEM 492.632812 1777130374.7190
MEM 498.757812 1777130374.8194
MEM 505.132812 1777130374.9198
MEM 511.007812 1777130375.0202
MEM 517.257812 1777130375.1206
MEM 523.132812 1777130375.2209
MEM 524.757812 1777130375.3215
MEM 524.757812 1777130375.4220
MEM 524.757812 1777130375.5225
MEM 524.757812 1777130375.6230
MEM 524.757812 1777130375.7235
MEM 524.757812 1777130375.8240
MEM 528.132812 1777130375.9244
MEM 534.382812 1777130376.0248
MEM 540.632812 1777130376.1253
MEM 546.757812 1777130376.2257
MEM 552.507812 1777130376.3262
MEM 558.757812 1777130376.4268
MEM 563.882812 1777130376.5273
MEM 569.257812 1777130376.6280
MEM 575.632812 1777130376.7286
MEM 579.382812 1777130376.8290
MEM 585.257812 1777130376.9295
MEM 590.632812 1777130377.0299
MEM 596.007812 1777130377.1303
MEM 602.257812 1777130377.2307
MEM 608.507812 1777130377.3311
MEM 612.507812 1777130377.4316
MEM 612.507812 1777130377.5321
