CMDLINE python Benchmark.py
MEM 2.625000 1777131045.1846
MEM 19.500000 1777131045.2849
MEM 41.953125 1777131045.3853
MEM 53.988281 1777131045.4893
MEM 65.347656 1777131045.5897
MEM 71.847656 1777131045.6902
MEM 77.222656 1777131045.7906
MEM 82.222656 1777131045.8910
MEM 89.472656 1777131045.9914
MEM 92.847656 1777131046.0919
MEM 97.472656 1777131046.1925
MEM 102.722656 1777131046.2928
MEM 106.097656 1777131046.3936
MEM 111.722656 1777131046.4942
MEM 116.972656 1777131046.5946
MEM 119.847656 1777131046.6952
MEM 126.972656 1777131046.7956
MEM 130.722656 1777131046.8961
MEM 132.472656 1777131046.9965
MEM 140.097656 1777131047.0969
MEM 147.347656 1777131047.1974
MEM 147.347656 1777131047.2979
MEM 151.597656 1777131047.3984
MEM 158.722656 1777131047.4987
MEM 166.347656 1777131047.5992
MEM 167.597656 1777131047.6998
MEM 168.347656 1777131047.8003
MEM 174.972656 1777131047.9007
MEM 182.597656 1777131048.0013
MEM 189.472656 1777131048.1021
MEM 192.847656 1777131048.2029
MEM 192.847656 1777131048.3035
MEM 192.847656 1777131048.4041
MEM 197.972656 1777131048.5045
MEM 204.347656 1777131048.6050
MEM 208.972656 1777131048.7168
MEM 212.597656 1777131048.8174
MEM 218.722656 1777131048.9178
MEM 223.847656 1777131049.0183
MEM 223.847656 1777131049.1188
MEM 223.847656 1777131049.2194
MEM 224.847656 1777131049.3198
MEM 231.847656 1777131049.4202
MEM 238.597656 1777131049.5206
MEM 246.222656 1777131049.6210
MEM 253.722656 1777131049.7214
MEM 261.222656 1777131049.8218
MEM 262.097656 1777131049.9224
MEM 262.097656 1777131050.0229
MEM 262.097656 1777131050.1234
MEM 267.847656 1777131050.2239
MEM 275.472656 1777131050.3244
MEM 282.847656 1777131050.4249
MEM 289.722656 1777131050.5256
MEM 297.347656 1777131050.6264
MEM 304.597656 1777131050.7269
MEM 309.597656 1777131050.8274
MEM 309.597656 1777131050.9279
MEM 309.597656 1777131051.0284
MEM 309.597656 1777131051.1290
MEM 311.097656 1777131051.2294
MEM 318.972656 1777131051.3298
MEM 326.597656 1777131051.4303
MEM 333.472656 1777131051.5306
MEM 341.097656 1777131051.6310
MEM 348.597656 1777131051.7315
MEM 356.097656 1777131051.8318
MEM 363.722656 1777131051.9323
MEM 368.097656 1777131052.0329
MEM 368.097656 1777131052.1334
MEM 368.097656 1777131052.2341
MEM 368.097656 1777131052.3347
MEM 368.097656 1777131052.4352
MEM 371.847656 1777131052.5356
MEM 379.597656 1777131052.6360
MEM 387.722656 1777131052.7365
MEM 395.597656 1777131052.8369
MEM 402.472656 1777131052.9374
MEM 409.847656 1777131053.0377
MEM 417.847656 1777131053.1382
MEM 425.722656 1777131053.2386
MEM 434.097656 1777131053.3390
MEM 440.222656 1777131053.4396
MEM 440.222656 1777131053.5401
MEM 440.222656 1777131053.6407
MEM 440.222656 1777131053.7413
MEM 440.222656 1777131053.8419
MEM 440.222656 1777131053.9424
MEM 440.222656 1777131054.0430
MEM 446.722656 1777131054.1434
MEM 454.597656 1777131054.2438
MEM 462.472656 1777131054.3443
MEM 469.847656 1777131054.4447
MEM 477.222656 1777131054.5451
MEM 484.847656 1777131054.6455
MEM 492.597656 1777131054.7459
MEM 500.472656 1777131054.8463
MEM 508.347656 1777131054.9467
MEM 514.972656 1777131055.0471
MEM 522.472656 1777131055.1475
MEM 529.472656 1777131055.2479
MEM 529.472656 1777131055.3485
MEM 529.472656 1777131055.4490
MEM 529.472656 1777131055.5495
MEM 529.472656 1777131055.6501
MEM 529.472656 1777131055.7506
MEM 529.472656 1777131055.8511
MEM 529.472656 1777131055.9517
MEM 532.222656 1777131056.0521
MEM 539.597656 1777131056.1525
MEM 547.347656 1777131056.2529
MEM 555.222656 1777131056.3533
MEM 563.222656 1777131056.4537
MEM 569.847656 1777131056.5541
MEM 577.597656 1777131056.6546
MEM 585.722656 1777131056.7550
MEM 593.222656 1777131056.8554
MEM 601.347656 1777131056.9559
MEM 607.847656 1777131057.0564
MEM 615.472656 1777131057.1568
MEM 623.347656 1777131057.2575
MEM 631.722656 1777131057.3584
MEM 639.097656 1777131057.4590
MEM 639.097656 1777131057.5596
MEM 639.097656 1777131057.6601
MEM 639.097656 1777131057.7606
MEM 639.097656 1777131057.8613
MEM 639.097656 1777131057.9618
MEM 639.097656 1777131058.0623
MEM 639.097656 1777131058.1629
MEM 639.097656 1777131058.2634
MEM 639.097656 1777131058.3639
MEM 642.347656 1777131058.4644
MEM 649.097656 1777131058.5647
MEM 657.097656 1777131058.6652
MEM 664.597656 1777131058.7656
MEM 672.222656 1777131058.8661
MEM 680.597656 1777131058.9665
MEM 688.097656 1777131059.0669
MEM 694.847656 1777131059.1674
MEM 702.597656 1777131059.2677
MEM 710.472656 1777131059.3681
MEM 718.222656 1777131059.4685
MEM 724.847656 1777131059.5689
MEM 732.222656 1777131059.6697
MEM 739.722656 1777131059.7702
MEM 747.722656 1777131059.8707
MEM 755.347656 1777131059.9712
MEM 762.472656 1777131060.0716
MEM 770.472656 1777131060.1721
MEM 773.722656 1777131060.2727
MEM 773.722656 1777131060.3734
MEM 773.722656 1777131060.4740
MEM 773.722656 1777131060.5746
MEM 773.722656 1777131060.6751
MEM 773.722656 1777131060.7756
MEM 773.722656 1777131060.8761
MEM 773.722656 1777131060.9767
MEM 773.722656 1777131061.0773
MEM 773.722656 1777131061.1778
MEM 773.722656 1777131061.2784
MEM 773.722656 1777131061.3789
MEM 778.472656 1777131061.4794
MEM 785.722656 1777131061.5797
MEM 793.722656 1777131061.6801
MEM 800.847656 1777131061.7805
MEM 807.347656 1777131061.8809
MEM 814.347656 1777131061.9814
MEM 821.472656 1777131062.0817
MEM 827.347656 1777131062.1822
MEM 832.597656 1777131062.2826
MEM 838.222656 1777131062.3830
MEM 844.222656 1777131062.4834
MEM 850.347656 1777131062.5839
MEM 855.597656 1777131062.6843
MEM 861.097656 1777131062.7847
MEM 867.722656 1777131062.8851
MEM 875.097656 1777131062.9855
MEM 882.722656 1777131063.0859
MEM 887.847656 1777131063.1863
MEM 893.722656 1777131063.2867
MEM 899.847656 1777131063.3871
MEM 905.972656 1777131063.4878
MEM 912.597656 1777131063.5885
MEM 919.347656 1777131063.6890
MEM 926.222656 1777131063.7895
MEM 933.347656 1777131063.8904
MEM 940.222656 1777131063.9910
MEM 940.972656 1777131064.0915
MEM 940.972656 1777131064.1920
MEM 940.972656 1777131064.2925
MEM 940.972656 1777131064.3930
MEM 940.972656 1777131064.4935
MEM 940.972656 1777131064.5939
MEM 940.972656 1777131064.6944
MEM 940.972656 1777131064.7949
MEM 940.972656 1777131064.8955
MEM 940.972656 1777131064.9960
MEM 940.972656 1777131065.0965
MEM 940.972656 1777131065.1969
MEM 940.972656 1777131065.2974
MEM 940.972656 1777131065.3978
MEM 942.847656 1777131065.4982
MEM 949.472656 1777131065.5986
MEM 956.847656 1777131065.6991
MEM 964.097656 1777131065.7998
MEM 971.222656 1777131065.9003
MEM 978.222656 1777131066.0007
MEM 985.222656 1777131066.1013
MEM 992.347656 1777131066.2018
MEM 999.847656 1777131066.3022
MEM 1007.097656 1777131066.4026
MEM 1013.847656 1777131066.5031
MEM 1020.347656 1777131066.6034
MEM 1026.222656 1777131066.7040
MEM 1032.097656 1777131066.8044
MEM 1038.472656 1777131066.9048
MEM 1045.347656 1777131067.0055
MEM 1052.597656 1777131067.1061
MEM 1059.097656 1777131067.2068
MEM 1065.472656 1777131067.3074
MEM 1072.472656 1777131067.4079
MEM 1077.847656 1777131067.5089
MEM 1083.472656 1777131067.6100
MEM 1089.472656 1777131067.7104
MEM 1095.722656 1777131067.8109
MEM 1102.847656 1777131067.9114
MEM 1109.847656 1777131068.0119
MEM 1116.972656 1777131068.1122
MEM 1124.222656 1777131068.2127
MEM 1131.472656 1777131068.3131
MEM 1138.597656 1777131068.4135
MEM 1145.097656 1777131068.5142
MEM 1145.597656 1777131068.6147
MEM 1145.597656 1777131068.7153
MEM 1145.597656 1777131068.8159
MEM 1145.597656 1777131068.9164
MEM 1145.597656 1777131069.0170
MEM 1145.597656 1777131069.1175
MEM 1145.597656 1777131069.2180
MEM 1145.597656 1777131069.3185
MEM 1145.597656 1777131069.4189
MEM 1145.597656 1777131069.5194
MEM 1145.597656 1777131069.6199
MEM 1145.597656 1777131069.7204
MEM 1145.597656 1777131069.8210
MEM 1145.597656 1777131069.9216
MEM 1145.597656 1777131070.0221
MEM 1145.597656 1777131070.1227
MEM 1145.597656 1777131070.2232
MEM 1145.597656 1777131070.3238
MEM 1145.597656 1777131070.4243
MEM 1147.597656 1777131070.5254
MEM 1153.222656 1777131070.6262
MEM 1158.847656 1777131070.7267
MEM 1165.097656 1777131070.8272
MEM 1172.222656 1777131070.9277
MEM 1180.097656 1777131071.0282
MEM 1186.972656 1777131071.1287
MEM 1193.847656 1777131071.2290
MEM 1200.597656 1777131071.3294
MEM 1207.472656 1777131071.4299
MEM 1213.722656 1777131071.5303
MEM 1219.347656 1777131071.6307
MEM 1224.847656 1777131071.7311
MEM 1231.472656 1777131071.8316
MEM 1238.597656 1777131071.9320
MEM 1245.722656 1777131072.0324
MEM 1252.722656 1777131072.1328
MEM 1259.847656 1777131072.2333
MEM 1267.097656 1777131072.3337
MEM 1274.472656 1777131072.4344
MEM 1280.097656 1777131072.5350
MEM 1285.597656 1777131072.6354
MEM 1291.847656 1777131072.7360
MEM 1298.972656 1777131072.8365
MEM 1306.472656 1777131072.9369
MEM 1312.847656 1777131073.0373
MEM 1318.597656 1777131073.1379
MEM 1324.597656 1777131073.2385
MEM 1331.472656 1777131073.3390
MEM 1337.472656 1777131073.4394
MEM 1343.847656 1777131073.5399
MEM 1351.222656 1777131073.6403
MEM 1358.472656 1777131073.7408
MEM 1364.972656 1777131073.8420
MEM 1370.597656 1777131073.9425
MEM 1376.722656 1777131074.0431
MEM 1382.972656 1777131074.1436
MEM 1388.472656 1777131074.2442
MEM 1394.097656 1777131074.3448
MEM 1398.097656 1777131074.4457
MEM 1398.097656 1777131074.5462
MEM 1398.097656 1777131074.6467
MEM 1398.097656 1777131074.7473
MEM 1398.097656 1777131074.8478
MEM 1398.097656 1777131074.9483
MEM 1398.097656 1777131075.0494
MEM 1398.097656 1777131075.1499
MEM 1398.097656 1777131075.2505
MEM 1398.097656 1777131075.3510
MEM 1398.097656 1777131075.4515
MEM 1398.097656 1777131075.5520
MEM 1398.097656 1777131075.6525
MEM 1398.097656 1777131075.7530
MEM 1398.097656 1777131075.8535
MEM 1398.097656 1777131075.9542
MEM 1398.097656 1777131076.0549
MEM 1398.097656 1777131076.1554
MEM 1398.097656 1777131076.2559
MEM 1398.097656 1777131076.3565
MEM 1398.097656 1777131076.4570
MEM 1398.097656 1777131076.5576
MEM 1398.097656 1777131076.6581
MEM 1398.097656 1777131076.7586
MEM 1402.847656 1777131076.8590
MEM 1410.472656 1777131076.9596
MEM 1418.472656 1777131077.0599
MEM 1426.097656 1777131077.1605
MEM 1433.722656 1777131077.2610
MEM 1441.472656 1777131077.3615
MEM 1448.722656 1777131077.4620
MEM 1454.847656 1777131077.5624
MEM 1462.472656 1777131077.6628
MEM 1469.847656 1777131077.7632
MEM 1477.222656 1777131077.8637
MEM 1484.847656 1777131077.9640
MEM 1492.722656 1777131078.0645
MEM 1500.722656 1777131078.1649
MEM 1508.847656 1777131078.2654
MEM 1516.222656 1777131078.3658
MEM 1524.472656 1777131078.4662
MEM 1531.097656 1777131078.5666
MEM 1539.347656 1777131078.6670
MEM 1547.972656 1777131078.7674
MEM 1555.222656 1777131078.8678
MEM 1562.847656 1777131078.9684
MEM 1570.472656 1777131079.0688
MEM 1578.347656 1777131079.1693
MEM 1586.472656 1777131079.2696
MEM 1594.097656 1777131079.3705
MEM 1601.597656 1777131079.4711
MEM 1607.847656 1777131079.5716
MEM 1615.347656 1777131079.6720
MEM 1622.972656 1777131079.7726
MEM 1630.222656 1777131079.8731
MEM 1638.097656 1777131079.9735
MEM 1645.722656 1777131080.0739
MEM 1653.722656 1777131080.1743
MEM 1661.347656 1777131080.2746
MEM 1669.222656 1777131080.3750
MEM 1676.847656 1777131080.4754
MEM 1683.722656 1777131080.5758
MEM 1691.347656 1777131080.6762
MEM 1699.347656 1777131080.7766
MEM 1707.222656 1777131080.8770
MEM 1711.722656 1777131080.9775
MEM 1711.722656 1777131081.0781
MEM 1711.722656 1777131081.1787
MEM 1711.722656 1777131081.2793
MEM 1711.722656 1777131081.3799
MEM 1711.722656 1777131081.4804
MEM 1711.722656 1777131081.5808
MEM 1711.722656 1777131081.6814
MEM 1711.722656 1777131081.7820
MEM 1711.722656 1777131081.8825
MEM 1711.722656 1777131081.9830
MEM 1711.722656 1777131082.0836
MEM 1711.722656 1777131082.1841
MEM 1711.722656 1777131082.2846
MEM 1711.722656 1777131082.3852
MEM 1711.722656 1777131082.4857
MEM 1711.722656 1777131082.5862
MEM 1711.722656 1777131082.6869
MEM 1711.722656 1777131082.7875
MEM 1711.722656 1777131082.8880
MEM 1711.722656 1777131082.9886
MEM 1711.722656 1777131083.0892
MEM 1711.722656 1777131083.1897
MEM 1711.722656 1777131083.2903
MEM 1711.722656 1777131083.3908
MEM 1711.722656 1777131083.4914
MEM 1711.722656 1777131083.5918
MEM 1712.597656 1777131083.6923
MEM 1720.097656 1777131083.7927
MEM 1728.347656 1777131083.8934
MEM 1736.097656 1777131083.9938
MEM 1743.472656 1777131084.0942
MEM 1751.347656 1777131084.1946
MEM 1759.347656 1777131084.2951
MEM 1767.222656 1777131084.3955
MEM 1774.597656 1777131084.4960
MEM 1781.722656 1777131084.5964
MEM 1789.222656 1777131084.6969
MEM 1796.847656 1777131084.7974
MEM 1804.722656 1777131084.8978
MEM 1812.222656 1777131084.9983
MEM 1819.722656 1777131085.0987
MEM 1827.472656 1777131085.1991
MEM 1835.222656 1777131085.2995
MEM 1843.472656 1777131085.3999
MEM 1850.597656 1777131085.5003
MEM 1857.847656 1777131085.6009
MEM 1864.597656 1777131085.7014
MEM 1872.472656 1777131085.8020
MEM 1879.472656 1777131085.9027
MEM 1887.597656 1777131086.0033
MEM 1894.972656 1777131086.1037
MEM 1902.972656 1777131086.2041
MEM 1910.847656 1777131086.3045
MEM 1918.972656 1777131086.4051
MEM 1926.847656 1777131086.5055
MEM 1933.847656 1777131086.6060
MEM 1941.972656 1777131086.7065
MEM 1950.222656 1777131086.8069
MEM 1957.972656 1777131086.9074
MEM 1966.097656 1777131087.0078
