CMDLINE python Benchmark.py
MEM 3.250000 1777131556.9829
MEM 18.250000 1777131557.0833
MEM 39.531250 1777131557.1837
MEM 46.531250 1777131557.2841
MEM 65.800781 1777131557.3897
MEM 94.542969 1777131557.4902
MEM 128.261719 1777131557.5907
MEM 150.511719 1777131557.6911
MEM 155.136719 1777131557.7917
MEM 160.136719 1777131557.8922
MEM 166.761719 1777131557.9926
MEM 170.511719 1777131558.0930
MEM 175.136719 1777131558.1935
MEM 180.136719 1777131558.2945
MEM 183.136719 1777131558.3950
MEM 188.761719 1777131558.4954
MEM 191.761719 1777131558.5958
MEM 197.386719 1777131558.6964
MEM 202.636719 1777131558.7969
MEM 204.386719 1777131558.8974
MEM 210.886719 1777131558.9978
MEM 216.386719 1777131559.0982
MEM 217.011719 1777131559.1987
MEM 224.011719 1777131559.2992
MEM 232.011719 1777131559.3996
MEM 232.886719 1777131559.5001
MEM 236.511719 1777131559.6007
MEM 244.011719 1777131559.7013
MEM 251.511719 1777131559.8017
MEM 253.136719 1777131559.9022
MEM 253.136719 1777131560.0028
MEM 260.136719 1777131560.1033
MEM 267.636719 1777131560.2038
MEM 275.636719 1777131560.3042
MEM 278.386719 1777131560.4047
MEM 278.386719 1777131560.5051
MEM 282.011719 1777131560.6055
MEM 289.761719 1777131560.7060
MEM 297.261719 1777131560.8063
MEM 305.136719 1777131560.9067
MEM 309.261719 1777131561.0073
MEM 309.261719 1777131561.1079
MEM 309.261719 1777131561.2084
MEM 314.011719 1777131561.3089
MEM 321.636719 1777131561.4095
MEM 328.761719 1777131561.5102
MEM 336.011719 1777131561.6108
MEM 343.761719 1777131561.7113
MEM 347.511719 1777131561.8118
MEM 347.511719 1777131561.9124
MEM 347.511719 1777131562.0129
MEM 348.011719 1777131562.1134
MEM 355.011719 1777131562.2139
MEM 362.636719 1777131562.3143
MEM 370.261719 1777131562.4147
MEM 377.636719 1777131562.5152
MEM 384.886719 1777131562.6156
MEM 392.636719 1777131562.7160
MEM 394.261719 1777131562.8165
MEM 394.261719 1777131562.9170
MEM 394.261719 1777131563.0176
MEM 394.261719 1777131563.1182
MEM 398.011719 1777131563.2186
MEM 404.761719 1777131563.3191
MEM 412.386719 1777131563.4195
MEM 419.511719 1777131563.5199
MEM 427.011719 1777131563.6203
MEM 434.261719 1777131563.7207
MEM 442.011719 1777131563.8213
MEM 449.511719 1777131563.9217
MEM 451.761719 1777131564.0222
MEM 451.761719 1777131564.1227
MEM 451.761719 1777131564.2233
MEM 451.761719 1777131564.3239
MEM 451.761719 1777131564.4244
MEM 455.386719 1777131564.5248
MEM 462.761719 1777131564.6253
MEM 470.261719 1777131564.7258
MEM 478.261719 1777131564.8263
MEM 486.011719 1777131564.9267
MEM 493.511719 1777131565.0271
MEM 501.136719 1777131565.1275
MEM 508.636719 1777131565.2280
MEM 516.386719 1777131565.3285
MEM 522.511719 1777131565.4288
MEM 523.886719 1777131565.5294
MEM 523.886719 1777131565.6299
MEM 523.886719 1777131565.7304
