CMDLINE python Benchmark.py
MEM 1585.500000 1777130032.5981
MEM 1591.500000 1777130032.6987
MEM 1596.875000 1777130032.7993
MEM 1602.750000 1777130032.8997
MEM 1609.000000 1777130033.0001
MEM 1615.250000 1777130033.1005
MEM 1621.375000 1777130033.2009
MEM 1628.125000 1777130033.3014
MEM 1633.875000 1777130033.4018
MEM 1639.625000 1777130033.5021
MEM 1645.125000 1777130033.6025
MEM 1651.375000 1777130033.7028
MEM 1656.750000 1777130033.8032
MEM 1662.000000 1777130033.9036
MEM 1668.250000 1777130034.0039
MEM 1674.125000 1777130034.1044
MEM 1679.875000 1777130034.2048
MEM 1685.375000 1777130034.3051
MEM 1691.250000 1777130034.4055
MEM 1697.250000 1777130034.5059
MEM 1703.500000 1777130034.6062
MEM 1709.625000 1777130034.7066
MEM 1714.750000 1777130034.8070
MEM 1720.750000 1777130034.9075
MEM 1726.500000 1777130035.0079
MEM 1732.750000 1777130035.1083
MEM 1738.875000 1777130035.2087
MEM 1744.625000 1777130035.3091
MEM 1750.750000 1777130035.4095
MEM 1756.875000 1777130035.5099
MEM 1762.500000 1777130035.6103
MEM 1768.125000 1777130035.7107
MEM 1773.250000 1777130035.8113
MEM 1778.750000 1777130035.9118
MEM 1784.500000 1777130036.0124
MEM 1787.000000 1777130036.1129
MEM 1787.000000 1777130036.2134
MEM 1787.000000 1777130036.3139
MEM 1787.000000 1777130036.4144
MEM 1787.000000 1777130036.5148
MEM 1787.000000 1777130036.6154
MEM 1787.000000 1777130036.7159
MEM 1787.000000 1777130036.8164
MEM 1787.000000 1777130036.9169
MEM 1787.000000 1777130037.0173
MEM 1787.000000 1777130037.1179
MEM 1787.000000 1777130037.2184
MEM 1787.000000 1777130037.3189
MEM 1787.000000 1777130037.4194
MEM 1787.000000 1777130037.5199
MEM 1787.000000 1777130037.6204
MEM 1787.000000 1777130037.7210
MEM 1787.000000 1777130037.8214
MEM 1787.000000 1777130037.9218
MEM 1787.000000 1777130038.0223
MEM 1787.000000 1777130038.1228
MEM 1787.000000 1777130038.2233
MEM 1787.000000 1777130038.3238
MEM 1787.000000 1777130038.4242
MEM 1787.000000 1777130038.5247
MEM 1787.000000 1777130038.6253
MEM 1787.250000 1777130038.7257
MEM 1792.875000 1777130038.8260
MEM 1799.000000 1777130038.9264
MEM 1805.000000 1777130039.0269
MEM 1811.125000 1777130039.1276
MEM 1817.375000 1777130039.2283
MEM 1823.625000 1777130039.3287
MEM 1829.625000 1777130039.4292
MEM 1835.875000 1777130039.5296
MEM 1841.250000 1777130039.6301
MEM 1844.875000 1777130039.7306
MEM 1849.500000 1777130039.8309
MEM 1855.250000 1777130039.9314
MEM 1859.500000 1777130040.0318
MEM 1865.625000 1777130040.1322
MEM 1871.875000 1777130040.2326
MEM 1878.125000 1777130040.3330
MEM 1884.375000 1777130040.4333
MEM 1890.750000 1777130040.5337
MEM 1897.125000 1777130040.6341
MEM 1902.875000 1777130040.7345
MEM 1908.125000 1777130040.8349
MEM 1914.500000 1777130040.9353
MEM 1920.000000 1777130041.0358
MEM 1925.750000 1777130041.1362
MEM 1932.125000 1777130041.2367
MEM 1938.625000 1777130041.3372
MEM 1944.875000 1777130041.4376
MEM 1951.250000 1777130041.5380
MEM 1957.750000 1777130041.6385
MEM 1963.500000 1777130041.7389
MEM 1969.125000 1777130041.8392
MEM 1975.625000 1777130041.9396
MEM 1981.250000 1777130042.0400
MEM 1987.000000 1777130042.1405
MEM 1993.250000 1777130042.2410
MEM 1997.125000 1777130042.3415
MEM 2001.500000 1777130042.4419
MEM 2006.125000 1777130042.5423
MEM 2010.125000 1777130042.6427
MEM 2013.875000 1777130042.7433
MEM 2018.125000 1777130042.8439
MEM 2022.750000 1777130042.9445
MEM 2027.250000 1777130043.0449
MEM 2033.250000 1777130043.1454
MEM 2039.125000 1777130043.2459
MEM 2045.375000 1777130043.3462
MEM 2051.500000 1777130043.4466
MEM 2057.375000 1777130043.5471
MEM 2063.375000 1777130043.6474
MEM 2068.250000 1777130043.7479
MEM 2073.125000 1777130043.8484
MEM 2078.750000 1777130043.9488
MEM 2083.500000 1777130044.0494
MEM 2088.000000 1777130044.1499
MEM 2093.500000 1777130044.2503
MEM 2098.375000 1777130044.3507
MEM 2104.000000 1777130044.4512
MEM 2109.375000 1777130044.5517
MEM 2115.500000 1777130044.6522
MEM 2120.500000 1777130044.7526
MEM 2123.625000 1777130044.8531
MEM 2126.750000 1777130044.9535
MEM 2131.625000 1777130045.0539
MEM 2136.500000 1777130045.1543
MEM 2141.000000 1777130045.2547
MEM 2146.500000 1777130045.3551
MEM 2152.375000 1777130045.4555
MEM 2158.250000 1777130045.5563
MEM 2164.250000 1777130045.6567
MEM 2168.000000 1777130045.7574
MEM 2168.000000 1777130045.8580
MEM 2168.000000 1777130045.9585
MEM 2168.000000 1777130046.0590
MEM 2168.000000 1777130046.1597
MEM 2168.000000 1777130046.2603
MEM 2168.000000 1777130046.3609
MEM 2168.000000 1777130046.4613
MEM 2168.000000 1777130046.5618
MEM 2168.000000 1777130046.6623
MEM 2168.000000 1777130046.7628
MEM 2168.000000 1777130046.8633
MEM 2168.000000 1777130046.9637
MEM 2168.000000 1777130047.0642
MEM 2168.000000 1777130047.1647
MEM 2168.000000 1777130047.2652
MEM 2168.000000 1777130047.3658
MEM 2168.000000 1777130047.4663
MEM 2168.000000 1777130047.5668
MEM 2168.000000 1777130047.6673
MEM 2168.000000 1777130047.7679
MEM 2168.000000 1777130047.8683
MEM 2168.000000 1777130047.9687
MEM 2168.000000 1777130048.0692
MEM 2168.000000 1777130048.1697
